Tahun;ACEH;SUMATERA UTARA;SUMATERA BARAT;RIAU;JAMBI;SUMATERA SELATAN;BENGKULU;LAMPUNG;KEP. BANGKA BELITUNG;KEP. RIAU;DKI JAKARTA;JAWA BARAT;JAWA TENGAH;DI YOGYAKARTA;JAWA TIMUR;BANTEN;BALI;NUSA TENGGARA BARAT;NUSA TENGGARA TIMUR;KALIMANTAN BARAT;KALIMANTAN TENGAH;KALIMANTAN SELATAN;KALIMANTAN TIMUR;KALIMANTAN UTARA;SULAWESI UTARA;SULAWESI TENGAH;SULAWESI SELATAN;SULAWESI TENGGARA;GORONTALO;SULAWESI BARAT;MALUKU;MALUKU UTARA;PAPUA BARAT;PAPUA;KETERANGAN
2021;2.79;2.61;3.29;3.36;3.66;3.58;3.24;2.79;5.05;3.43;3.56;3.74;3.32;5.53;3.57;4.44;-2.47;2.30;2.51;4.78;3.40;3.48;2.48;3.98;4.16;11.70;4.65;4.10;2.41;2.56;3.04;16.40;-0.51;15.11;Laju Pertumbuhan
2020;-0.37;-1.07;-1.62;-1.13;-0.44;-0.11;-0.02;-1.67;-2.30;-3.80;-2.39;-2.52;-2.65;-2.68;-2.33;-3.39;-9.33;-0.62;-0.84;-1.82;-1.41;-1.82;-2.87;-1.09;-0.99;4.86;-0.71;-0.65;-0.02;-2.40;-0.92;5.35;-0.76;2.39;Laju Pertumbuhan
2019;4.14;5.22;5.01;2.81;4.35;5.69;4.94;5.26;3.32;4.83;5.82;5.02;5.36;6.59;5.53;5.26;5.60;3.90;5.25;5.09;6.12;4.09;4.70;6.89;5.65;8.83;6.91;6.50;6.40;5.56;5.41;6.25;2.66;-15.74;Laju Pertumbuhan
2018;4.61;5.18;5.14;2.35;4.69;6.01;4.97;5.23;4.45;4.47;6.11;5.65;5.30;6.20;5.47;5.77;6.31;-4.50;5.11;5.07;5.61;5.08;2.64;5.36;6.00;20.60;7.04;6.40;6.49;6.26;5.91;7.86;6.25;7.32;Laju Pertumbuhan
2017;4.18;5.12;5.30;2.66;4.60;5.51;4.98;5.16;4.47;1.98;6.20;5.33;5.26;5.26;5.46;5.75;5.56;0.09;5.11;5.17;6.73;5.28;3.13;6.80;6.31;7.10;7.21;6.76;6.73;6.39;5.82;7.67;4.02;4.64;Laju Pertumbuhan
2016;3.29;5.18;5.27;2.18;4.37;5.04;5.28;5.14;4.10;4.98;5.87;5.66;5.25;5.05;5.57;5.28;6.33;5.81;5.12;5.20;6.35;4.40;-0.38;3.55;6.16;9.94;7.42;6.51;6.52;6.01;5.73;5.77;4.52;9.14;Laju Pertumbuhan
2015;-0.73;5.10;5.53;0.22;4.21;4.42;5.13;5.13;4.08;6.02;5.91;5.05;5.47;4.95;5.44;5.45;6.03;21.76;4.92;4.88;7.01;3.82;-1.20;3.40;6.12;15.50;7.19;6.88;6.22;7.31;5.48;6.10;4.15;7.35;Laju Pertumbuhan
2014;1.55;5.23;5.88;2.71;7.36;4.79;5.48;5.08;4.67;6.60;5.91;5.09;5.27;5.17;5.86;5.51;6.73;5.17;5.05;5.03;6.21;4.84;1.71;8.18;6.31;5.07;7.54;6.26;7.27;8.86;6.64;5.49;5.38;3.65;Laju Pertumbuhan
2013;2.61;6.07;6.08;2.48;6.84;5.31;6.07;5.77;5.20;7.21;6.07;6.33;5.11;5.47;6.08;6.67;6.69;5.16;5.41;6.05;7.37;5.33;2.76;-;6.38;9.59;7.62;7.50;7.67;6.93;5.24;6.36;7.36;8.55;Laju Pertumbuhan
2012;3.85;6.45;6.31;3.76;7.03;6.83;6.83;6.44;5.50;7.63;6.53;6.50;5.34;5.37;6.64;6.83;6.96;-1.54;5.46;5.91;6.87;5.97;5.48;-;6.86;9.53;8.87;11.65;7.91;9.25;7.16;6.98;3.63;1.72;Laju Pertumbuhan
2011;3.28;6.66;6.34;5.57;7.86;6.36;6.85;6.56;6.90;6.96;6.73;6.50;5.30;5.21;6.44;7.03;6.66;-3.91;5.67;5.50;7.01;6.97;6.47;-;6.17;9.82;8.13;10.63;7.71;10.73;6.34;6.80;3.64;-4.28;Laju Pertumbuhan
2021;1.09;5.07;1.49;4.97;1.38;2.90;0.47;2.19;0.51;1.63;17.19;13.03;8.38;0.88;14.48;3.93;1.30;0.83;0.65;1.36;1.00;1.14;4.10;0.65;0.84;1.46;3.22;0.82;0.26;0.30;0.29;0.31;0.50;1.39;Distribusi
2020;1.05;5.14;1.53;4.62;1.31;2.90;0.46;2.24;0.48;1.61;17.55;13.22;8.55;0.88;14.58;3.97;1.42;0.85;0.68;1.36;0.96;1.14;3.85;0.64;0.84;1.25;3.20;0.83;0.26;0.29;0.29;0.27;0.53;1.26;Distribusi
2019;1.02;4.99;1.53;4.74;1.35;2.83;0.45;2.22;0.47;1.67;17.55;13.24;8.48;0.88;14.62;4.12;1.57;0.83;0.67;1.32;0.94;1.13;4.07;0.60;0.81;1.16;3.14;0.81;0.26;0.29;0.29;0.25;0.53;1.18;Distribusi
2018;1.04;4.95;1.54;5.02;1.39;2.80;0.44;2.22;0.49;1.66;17.31;13.09;8.47;0.87;14.61;4.10;1.56;0.83;0.66;1.30;0.93;1.15;4.24;0.57;0.80;1.12;3.08;0.79;0.25;0.29;0.29;0.24;0.53;1.41;Distribusi
2017;1.06;4.98;1.56;5.13;1.38;2.79;0.44;2.23;0.51;1.66;17.21;13.01;8.53;0.87;14.65;4.10;1.55;0.90;0.66;1.29;0.92;1.16;4.31;0.56;0.80;0.97;3.02;0.78;0.25;0.29;0.29;0.23;0.52;1.37;Distribusi
2016;1.08;4.96;1.55;5.40;1.36;2.80;0.44;2.21;0.52;1.71;17.11;13.10;8.61;0.87;14.70;4.10;1.54;0.92;0.66;1.28;0.89;1.16;4.03;0.52;0.80;0.95;2.99;0.77;0.25;0.28;0.29;0.23;0.53;1.37;Distribusi
2015;1.11;4.91;1.54;5.60;1.33;2.85;0.43;2.17;0.52;1.71;17.07;13.09;8.68;0.87;14.52;4.11;1.51;0.91;0.65;1.26;0.86;1.18;4.33;0.53;0.78;0.92;2.92;0.75;0.24;0.28;0.29;0.23;0.54;1.29;Distribusi
2014;1.20;4.89;1.54;6.36;1.36;2.87;0.42;2.16;0.53;1.69;16.50;12.97;8.64;0.87;14.40;4.01;1.46;0.76;0.64;1.24;0.84;1.20;4.94;0.55;0.76;0.84;2.79;0.74;0.24;0.28;0.30;0.23;0.54;1.25;Distribusi
2013;1.26;4.89;1.53;6.32;1.35;2.92;0.42;2.13;0.52;1.70;16.10;13.11;8.64;0.88;14.39;3.93;1.40;0.77;0.64;1.24;0.85;1.21;5.40;0.55;0.74;0.83;2.69;0.74;0.23;0.26;0.29;0.22;0.55;1.28;Distribusi
2012;1.32;4.81;1.52;6.44;1.33;2.92;0.42;2.16;0.52;1.67;15.79;13.01;8.70;0.89;14.40;3.90;1.36;0.80;0.63;1.23;0.85;1.23;6.35;-;0.74;0.80;2.63;0.75;0.23;0.26;0.28;0.22;0.55;1.30;Distribusi
